Process Arrival_Time Service_Time Priority
P0 0 7 1
P1 3 2 3
P2 6 10 7
P3 9 9 9
P4 14 1 8
P5 18 3 8
P6 20 2 6
P7 24 10 2
P8 25 3 6
P9 27 3 6
P10 32 7 6
P11 33 7 10
P12 35 4 5
P13 38 1 2
P14 43 2 3
P15 48 6 8
P16 51 9 7
P17 52 6 10
P18 57 3 3
P19 58 4 6
P20 62 1 3
P21 63 10 3
P22 67 7 2
P23 68 6 5
P24 73 8 10
P25 75 2 4
P26 79 2 4
P27 80 2 5
P28 84 9 3
P29 88 2 9
P30 90 2 2
P31 93 9 8
P32 98 7 10
P33 101 10 8
P34 102 1 6
P35 103 10 7
P36 104 3 3
P37 107 4 3
P38 109 3 3
P39 114 5 3
P40 117 4 3
P41 120 9 1
P42 124 7 4
P43 128 7 10
P44 133 10 3
P45 138 3 2
P46 143 7 4
P47 146 10 10
P48 147 3 9
P49 150 8 6
P50 154 3 8
P51 155 9 6
P52 160 5 6
P53 162 7 7
P54 167 9 2
P55 170 1 7
P56 171 3 4
P57 172 7 2
P58 177 3 1
P59 181 10 8
P60 184 7 10
P61 185 7 4
P62 186 1 7
P63 188 1 4
P64 192 8 5
P65 195 4 1
P66 200 8 2
P67 202 10 3
P68 205 2 3
P69 208 1 8
P70 213 6 1
P71 217 8 9
P72 222 4 7
P73 223 8 9
P74 226 9 6
P75 229 8 10
P76 234 3 10
P77 238 9 3
P78 239 2 2
P79 242 1 8
P80 247 9 6
P81 248 3 3
P82 250 4 3
P83 252 6 9
P84 254 3 4
P85 258 4 6
P86 262 3 6
P87 263 7 9
P88 268 9 9
P89 272 8 3
P90 276 7 6
P91 280 1 5
P92 283 8 4
P93 288 5 7
P94 289 8 4
P95 292 2 2
P96 297 6 2
P97 300 5 1
P98 303 3 7
P99 305 7 6
P100 307 3 2
P101 312 4 2
P102 314 9 2
P103 317 4 6
P104 319 7 7
P105 320 5 8
P106 324 5 10
P107 328 3 4
P108 333 5 5
P109 338 2 9
P110 340 3 1
P111 341 6 4
P112 344 4 3
P113 346 9 9
P114 348 10 2
P115 349 7 5
P116 350 3 8
P117 354 8 7
P118 357 6 1
P119 362 6 2
P120 366 9 7
P121 367 5 3
P122 369 4 7
P123 371 6 7
P124 375 1 10
P125 378 5 9
P126 379 8 10
P127 383 1 7
P128 385 8 3
P129 386 8 8
P130 388 6 1
P131 389 3 3
P132 394 3 7
P133 398 1 6
P134 403 2 3
P135 407 4 1
P136 410 8 5
P137 415 8 2
P138 419 3 1
P139 423 7 9
P140 427 9 2
P141 428 8 5
P142 431 6 4
P143 434 10 1
P144 437 1 3
P145 439 9 3
P146 442 3 1
P147 445 1 9
P148 450 10 5
P149 452 8 10
P150 453 6 6
P151 457 9 3
P152 460 4 5
P153 462 4 4
P154 465 4 9
P155 469 1 9
P156 474 2 8
P157 479 4 4
P158 483 5 6
P159 486 5 8
P160 491 6 2
P161 496 5 3
P162 498 1 10
P163 500 9 8
P164 504 7 9
P165 505 5 10
P166 509 1 1
P167 511 3 7
P168 515 5 5
P169 519 6 5
P170 524 10 7
P171 525 6 8
P172 529 6 1
P173 533 4 1
P174 535 3 6
P175 537 1 5
P176 541 3 6
P177 544 9 1
P178 548 10 9
P179 552 1 4
P180 555 4 10
P181 560 7 10
P182 564 8 9
P183 566 3 8
P184 567 3 1
P185 568 10 2
P186 570 8 3
P187 574 4 7
P188 575 8 8
P189 578 8 3
P190 580 6 3
P191 583 3 10
P192 585 9 8
P193 590 6 6
P194 591 1 6
P195 595 4 4
P196 596 7 10
P197 597 2 5
P198 599 7 5
P199 601 1 5
P200 604 6 6
P201 609 5 1
P202 612 1 5
P203 614 5 2
P204 616 6 6
P205 618 2 6
P206 622 8 4
P207 625 10 9
P208 630 3 2
P209 632 5 1
P210 634 7 3
P211 638 7 6
P212 641 2 10
P213 645 6 6
P214 648 4 10
P215 651 6 3
P216 655 3 9
P217 658 3 8
P218 661 4 6
P219 666 6 4
P220 671 1 4
P221 674 5 8
P222 675 9 7
P223 677 3 9
P224 681 9 8
P225 683 4 9
P226 688 9 8
P227 690 4 2
P228 694 1 6
P229 697 8 5
P230 699 10 5
P231 703 8 10
P232 704 2 9
P233 709 7 1
P234 712 6 2
P235 714 9 8
P236 719 1 1
P237 720 2 1
P238 724 1 9
P239 727 9 8
P240 730 8 7
P241 731 8 5
P242 734 7 7
P243 735 6 1
P244 739 1 3
P245 740 4 10
P246 742 7 7
P247 745 3 2
P248 750 2 8
P249 753 5 5
P250 758 7 2
P251 760 6 10
P252 761 2 3
P253 765 1 8
P254 770 8 10
P255 774 5 4
P256 779 4 9
P257 782 7 4
P258 785 1 3
P259 790 10 1
P260 791 5 4
P261 793 4 2
P262 796 9 10
P263 799 1 5
P264 804 6 6
P265 807 5 7
P266 809 6 4
P267 814 4 3
P268 816 6 3
P269 817 5 6
P270 821 6 9
P271 826 2 1
P272 831 5 5
P273 833 9 5
P274 837 6 4
P275 839 2 4
P276 842 7 5
P277 847 9 10
P278 851 9 9
P279 856 2 10
P280 857 9 4
P281 858 1 1
P282 863 9 7
P283 867 7 5
P284 868 10 1
P285 873 7 3
P286 876 2 5
P287 880 10 5
P288 883 7 1
P289 886 3 7
P290 888 4 8
P291 891 3 6
P292 894 4 10
P293 895 6 10
P294 898 9 7
P295 903 1 9
P296 905 10 7
P297 910 9 9
P298 915 5 2
P299 920 6 4
P300 922 5 3
P301 924 9 7
P302 925 3 10
P303 927 8 7
P304 930 4 7
P305 934 1 7
P306 935 9 7
P307 938 4 9
P308 941 8 10
P309 943 5 4
P310 946 5 6
P311 950 10 4
P312 954 8 9
P313 958 1 9
P314 959 1 7
P315 961 9 10
P316 963 6 4
P317 967 4 1
P318 971 3 1
P319 972 5 1
P320 976 5 8
P321 979 7 10
P322 982 2 7
P323 986 5 10
P324 990 4 2
P325 995 8 3
P326 998 10 8
P327 1000 9 10
P328 1002 1 5
P329 1003 3 4
P330 1006 5 3
P331 1011 10 9
P332 1012 7 3
P333 1015 5 8
P334 1020 8 9
P335 1024 5 5
P336 1027 2 4
P337 1028 4 1
P338 1033 6 9
P339 1034 1 5
P340 1036 1 8
P341 1039 4 10
P342 1044 2 8
P343 1045 2 7
P344 1050 3 3
P345 1051 4 7
P346 1055 9 4
P347 1058 7 6
P348 1063 3 4
P349 1064 4 9
P350 1069 6 9
P351 1072 2 2
P352 1073 8 7
P353 1078 3 9
P354 1082 1 5
P355 1083 1 10
P356 1084 5 4
